Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
2508,2,2,2,1614,0,12,97,25.21762295,55.2782830925684,1.6082448662671087,11,0.3586467459384239,232.34200743494424
962,2,2,1,1014,0,12,43,25.197978,55.36037960558315,9.059846490855643,1,0.1313914365067134,138.06706114398423
1787,1,2,1,739,1,12,45,25.0956188,55.13800090659106,18.043373777434777,3,0.8331690579745752,243.5710419485792
1743,5,2,5,3010,1,12,46,25.12689085,55.263874387067744,8.658610357744806,14,0.15776767843657796,99.66777408637874
624,3,2,1,2271,1,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,46.23513870541612
1281,0,2,1,449,0,12,57,25.0321379,55.219353,19.817861705840954,23,0.10858320810714238,111.358574610245
816,1,2,1,907,0,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,115.76626240352812
2897,3,2,5,1208,1,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,66.2251655629139
2350,2,2,1,1430,1,12,69,25.0778021,55.13518094856796,19.61940470844985,3,0.5235815321214037,104.1958041958042
147,5,2,5,5561,1,12,4,25.0267099,55.1469903,23.347593371180075,16,0.1560696987151881,76.4249235748966
1512,2,2,1,1154,1,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,86.65511265164645
576,0,2,1,347,0,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,178.67435158501442
1304,1,2,1,1288,1,12,91,25.1180879,55.1342009,16.79059674810551,18,0.3276456507366631,100.93167701863354
1027,0,2,1,634,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,85.17350157728707
1230,0,2,1,350,0,12,8,25.2142937,55.324569,5.519854686196985,24,0.2447380935803244,162.85714285714286
590,1,2,1,1483,0,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,64.05933917734322
580,1,2,1,523,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,133.8432122370937
54,2,2,1,1542,1,12,43,25.197978,55.36037960558315,9.059846490855643,1,0.1313914365067134,214.0077821011673
2092,4,2,5,4650,1,12,27,25.03527815,55.27005900335623,18.77887689911828,5,0.08199872436026955,62.36537634408602
2628,5,2,5,6038,1,12,108,25.0843891,55.3611964,16.155370784554954,4,0.06692059708304082,74.52798940046372
1261,4,2,5,6706,1,12,91,25.1180879,55.1342009,16.79059674810551,18,0.3276456507366631,186.40023859230536
1501,0,2,1,403,0,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,114.1439205955335
2975,1,2,1,818,0,12,98,25.177246,55.30791298414965,4.828022717759925,28,0.23451258674729025,134.47432762836186
537,2,2,1,1600,1,12,7,25.2428328,55.279212,4.297554186896831,11,0.3319074360453302,57.5
79,2,2,1,1370,1,12,70,25.0203281,55.20083862592119,21.618745002941527,23,0.10918387933487078,109.48905109489051
1309,3,2,1,1685,1,12,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,80.1186943620178
1512,1,2,1,953,0,12,20,25.2208602,55.2737617,1.8039480495430007,11,0.3497110696316436,99.68520461699894
578,0,2,1,298,1,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,151.00671140939596
814,2,2,1,1078,1,12,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,139.14656771799628
1157,4,2,5,2573,1,12,56,24.9144391,55.1615128,34.00214879141342,6,0.034778920832006496,48.581422464049744
2068,1,2,1,1058,1,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,85.06616257088847
671,1,2,1,717,0,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,160.3905160390516
1999,3,2,5,2025,1,12,110,25.01085145,55.28887629766314,21.561773702627068,15,0.061112947796148696,64.19753086419753
57,1,2,1,634,1,12,53,25.0249925,55.1896223,21.53513362004355,23,0.12266375778449569,94.6372239747634
815,1,2,1,891,0,12,40,25.21282585,55.277634848521615,1.1246797763984002,11,0.3596302764205953,78.11447811447812
458,3,3,4,1883,0,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,58.41741901221455
520,2,3,1,1235,0,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,105.26315789473684
2511,1,2,1,861,1,12,34,25.18942655,55.26481901527489,1.8065482546048213,2,0.39226945096771787,116.14285714285714
593,1,2,1,568,0,12,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,140.8450704225352
903,1,2,1,690,0,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,136.231884057971
808,4,2,5,9761,1,12,64,25.0053336,55.160834,24.723417111352887,16,0.11028537246642256,35.856981866612024
808,4,2,5,14359,1,12,64,25.0053336,55.160834,24.723417111352887,16,0.11028537246642256,22.63388815377116
